,names,ratings,cost,dish,deliveryin_min,order
346,Dunkel Kitchen - Food Court From Cloud,New,₹150 for one,"Biryani, Chinese, North Indian, Fast Food",39 min,225+ orders placed from here recently
347,Hunan,4.0,₹250 for one,"Asian, Sichuan",40 min,1500+ orders placed from here recently
348,Le Gateau - The Cake Shop,4.0,₹250 for one,"Bakery, Desserts",56 min,1500+ orders placed from here recently
349,Estaa Sweets,4.2,₹250 for one,"Mithai, Street Food, Desserts",56 min,1500+ orders placed from here recently
350,Connie's Steakhouse Kitchen,3.8,₹250 for one,"Steak, Continental, American, Burger, Desserts, Pasta, Seafood, Beverages",56 min,1500+ orders placed from here recently
351,Colombo Idli House,4.2,₹250 for one,South Indian,56 min,1500+ orders placed from here recently
352,Flying Kombucha,3.6,₹250 for one,Beverages,56 min,1500+ orders placed from here recently
353,Crave By Leena,4.2,₹100 for one,"Bakery, Desserts",56 min,1500+ orders placed from here recently
354,Carnival Cakes & Breads,-,₹100 for one,"Bakery, Street Food",56 min,1500+ orders placed from here recently
355,The Cookie Stack,-,₹100 for one,"Bakery, Desserts",56 min,1500+ orders placed from here recently
356,Bäcker,-,₹100 for one,Bakery,56 min,1500+ orders placed from here recently
357,Hustle,3.6,₹350 for one,"Cafe, Coffee, Tea, Pizza, Pasta, Sandwich, Fast Food, Continental",56 min,1500+ orders placed from here recently
358,Whitecaps,-,₹350 for one,"Bakery, Desserts, Beverages, Shake",56 min,1500+ orders placed from here recently
359,Whitecaps,-,₹350 for one,"Bakery, Desserts, Beverages, Shake",56 min,1500+ orders placed from here recently
360,Whitecaps,-,₹350 for one,"Bakery, Desserts, Beverages, Shake",56 min,1500+ orders placed from here recently
361,Whitecaps,-,₹350 for one,"Bakery, Desserts, Beverages, Shake",56 min,1500+ orders placed from here recently
